"issue_id","milestone","trigger","evidence_level","status","baseline_identity","candidate_identity","fix_files","test_result","remaining"
"P12-B04","P12B","Annotation projection/collision on full protocol identity","CURRENT_FINAL_BINARY_DDS_IMAGE","FIXED_WITH_FINAL_EVIDENCE","old targetID-only/cache timing risk","targetType+targetPlatID+targetID prewarm cache","AnnotationManager.*; AnnotationProjector.*; annotation_profiles.json","f22 final annotated ordinary case renders; lifecycle has no first-frame ownership leak","No keypoint metrology/calibration claim"
"P12-B05","P12B","Tail plume, active illumination, aero locality and thermal inertia regression","CURRENT_UNIT_REGRESSION_PLUS_UNCHANGED_P11_IMAGES","REGRESSION","P11 final DDS image evidence and component gates PASS","P12 unit outputs under logs/p12/p12b","No physical-parameter retune; P12DiagnosticWriter only changes diagnostic I/O","Active/aero/thermal unit regressions PASS; P11 effect images retained","No full models x weather x angles combinatorial rerun; no equipment-causality claim"
"P12-B06","P12B/P12C","P11 cloud camera/target at 500 m while clouds were 9400-10600 m","CURRENT_WORLD_METADATA_AND_PIXELS","FIXED_WITH_FINAL_EVIDENCE","P11 empty-LOS weather case","weather_cloud 12 cases","p12_weather_cloud_audit.py and deterministic fixture controls","Camera altitude 2600 m; actual LOS intervals logged; front/behind/hide comparisons change pixels","Engineering renderer evidence, not measured cloud radiometry"
"P12-C01","P12C","Cloud front/behind metadata missing","CURRENT_WORLD_METADATA_AND_PIXELS","FIXED_WITH_FINAL_EVIDENCE","BLOCKED_METADATA","cloud_mwir/swir sample1000 and sample6500","Weather metadata logging and audit script","Front/behind geometry and received DDS differences PASS","No claim that every sky-light coupling is isolated"
"P12-C02","P12C","Individual cloudId disable/restore evidence missing","CURRENT_WORLD_METADATA_AND_PIXELS","FIXED_WITH_FINAL_EVIDENCE","BLOCKED_METADATA","cloudIds 198EE8338358C182 and D73EEA5ECB3EA0B8","Weather stable IDs and audit script","Hiding each real returned ID changes 136785 / 124421 linear pixels; other ID retained","IDs are fixture-stable, not globally persistent across arbitrary seeds"
"P12-C03","P12C","Complete 2 km five-component atmospheric grid absent","REAL_LICENSED_MODTRAN_OUTPUT_AND_QC","FIXED_WITH_FINAL_EVIDENCE","P11 formal LUT 1628 rows","formal LUT 1724 rows sha 6f22d25d; 160 cases","p12_modtran_2km_*.py/.ps1; atomic publisher","160 cases and 201 QC checks PASS; 96 rows appended; pre-existing bytes preserved as exact prefix","PcModWin executable/license not redistributed"
"P12-C04","P12C","Board controlled-glass pixels and DDS evidence absent","CURRENT_RK_RGBA16F_AND_H264_DDS","FIXED_WITH_FINAL_EVIDENCE","P11 CPU/WGL only","controlled_glass/evidence 8 cases","p12 controlled glass rig/audit; IRSceneMaterialMapper mapping","SWIR/MWIR x bright/dark x transmission on/blocked = 8/8 PASS; real RGBA16F and decoded DDS","NOT_VERIFIED_CALIBRATION: no measured coupon/SRF/QE/optics/exposure truth"
"P12-D01","P12D","PFM capture frames correlate with 86-102 ms spikes","SAME_INPUT_SHORT_AB","FIXED_WITH_FINAL_EVIDENCE","sync capture total 91.801/85.464 ms at seq 180/900","bounded async CPU writer render thread 52.973/51.059 ms","IR/P12DiagnosticWriter.h; HwaSimIR.cpp; p12_performance_ab.ps1","GPU wait ~44-46 ms and readback copy ~6 ms remain on render thread; queue enqueue <0.1 ms","Diagnostic capture remains slower than ordinary path and is reported separately"
"P12-D02","P12D","Ordinary 60 s SWIR/MWIR hard performance gate","FINAL_60S_REAL_BOARD_AND_GUI","FAIL","P11 long tails and first-frame spikes","ordinary-performance-20260918-043110","READY prewarm and run-loop ownership fixes","MWIR PASS, cold/steady >80=0/0; SWIR functional PASS but cold/steady >80=3/0, max 84.159 ms","Open blocker: SWIR cold-start 3 frames exceed original 80 ms hard gate"
"P12-D03","P12D","Approx. 300 s ordinary weather stability","FINAL_300S_REAL_BOARD_AND_GUI","FUNCTIONAL_PASS_PERFORMANCE_FAIL","No P12 long run","MWIR_300s_Snow 18000 products","ordinary performance suite","60 FPS functional chain, 0 decode errors, steady >80=0; cold >80=46","Cold hard gate fails; GUI max paint gap 119.649 ms"
"P12-D04","P12D","Cold start, late/restarted receiver, input gap, re-INIT and STOP drain","FINAL_LIFECYCLE","FIXED_WITH_FINAL_EVIDENCE","P11 lifecycle used explicit test paths","ordinary-lifecycle-20260918-043854","p12_lifecycle_suite.ps1 and final ELF","Same board PID; 601 writes each round; all gates true; identity rejects/decode errors zero","No PAUSE opcode added"
"P12-D05","P12D","Atomic deploy and actual rollback must produce new DDS images","FINAL_DEPLOYMENT_AND_ROLLBACK","FIXED_WITH_FINAL_EVIDENCE","P11 snapshot .before_p11-20260918-001831","P12 ELF 2d579136 and config ca19fc48","p12_deploy_elf_increment.ps1; p12_reconcile_board_deployment.ps1; p12_rollback_exercise.*","P11 rollback and P12 restore each decoded 481 new frames; active identities restored byte-for-byte","First failed rollback attempt retained; no credential in delivery"
"P12-D06","P12D","Complete offline package, file manifest and SHA256","DELIVERY_ARCHIVE","FIXED_WITH_FINAL_EVIDENCE","No P12 archive","HwaSimIR_P12_Delivery.zip plus manifest and SHA256 sidecar","p12_build_delivery.py","Builder performs member SHA256, secret/license exclusion, ZIP64 creation and CRC/member verification; receipt is delivered beside ZIP","ZIP SHA is intentionally external to avoid recursive self-hashing"
